"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bermuda","BMU","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9941429050383","99.9865593310404","99.9789757570425","99.9713921830446","99.9638086090467","99.9562250350488","99.948641461051","99.9410578870531","99.9334743130552","99.9258907390573","99.9183071650594","99.9107235910615","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","","",
"Bolivia","BOL","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.7715746117768","81.4940913476166","82.192495481738","82.878552285047","83.5560293047153","84.2242902869626","84.8844138580423","85.535458269738","86.178447326585","86.8124762197611","87.4379445833791","88.0551966846425","88.6640012861427","89.2500734436876","89.8203347879304","90.3841680932499","90.9418494280406","91.492948547896","92.0388440736544","92.5659538959925","93.0874216875902","93.603178923005","94.1133703836164","","",
"Brazil","BRA","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.4715252595615","93.8143435778762","94.1424897502086","94.4635263894455","94.7773576406478","95.0841359766136","95.3841881864926","95.6776268688402","95.9645639704386","96.2447988312122","96.5187999853069","96.7879749994184","97.0509780439356","97.3076718816465","97.5585811855157","97.8035647892997","97.955839734312","98.4509560322469","98.6794937002595","98.9355439518362","99.3208587959277","99.5894010970371","99.5937713070223","","",
"Barbados","BRB","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3244234586283","98.3344248775752","98.3444262965221","98.354427715469","98.3644291344159","98.3744305533628","98.3844319723097","98.3944333912566","98.4044348102036","98.4144362291505","98.4244376480974","98.4344390670443","98.4444404859912","98.4544419049381","98.464443323885","98.4744447428319","98.4844461617788","98.4944475807257","98.5044489996726","98.5144504186196","98.5144504186196","98.5144504186196","98.5144504186196","","",
"Brunei Darussalam","BRN","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9000162089371","99.9000162089371","99.9000162089371","99.9000162089371","99.9000162089371","99.9000181515347","99.9000200940569","99.9000220365035","99.9000239788747","99.9000259211704","99.9000278633906","99.9000298055354","99.9000317476047","99.9000336895986","99.900035631517","99.90003757336","99.9000395151275","99.9000414568196","99.9000433984363","99.9000453399775","99.9000472814433","99.9000492228337","99.9000511641487","","",
"Bhutan","BTN","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.3616023376971","83.4672853946384","84.619956973004","85.7539271039214","86.8683908719885","87.9567599908277","88.9789644735717","89.9867722230308","90.9798258203144","91.9575530816724","92.9198297625289","93.8663401691151","94.796080074277","95.70915284335","96.6057777361165","97.4862232685065","98.1862388792563","98.6598417425712","98.7649965034515","98.872312239386","98.9817176346163","99.1269946286331","99.1314463044604","","",
"Botswana","BWA","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.1696350758408","75.5201052025927","75.7326063221722","75.9236020976699","76.112906198948","76.2993339260323","77.4073703599859","78.8983728293753","80.3421420672701","81.735162201203","83.0797687746127","84.3752251394181","85.4679052832235","86.5076033139407","87.5224807709858","88.5124964559895","89.4779017317438","90.4185062142059","91.3326697358456","92.2214029742791","92.3385777393314","92.4485161411384","92.5675619878434","","",
"Central African Republic","CAF","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.0104896097958","57.8285774419049","56.6533341018037","55.4843768966866","54.3217048702171","53.1725556583242","52.0363867203351","50.9129856057539","49.8014654368029","48.7012770247174","47.6121816825573","46.5333203530459","45.4644281462994","44.4049338962724","43.354001474842","42.3113462015146","41.276645035426","40.2488161046843","39.227547725688","38.2122671248287","37.2024025511537","36.1973808119571","36.2950435814739","","",
"Canada","CAN","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.2269903286955","99.2315101664022","99.2325718904839","99.2336503304193","99.2347121695379","99.2346442640093","99.2346171625691","99.2354956393385","99.2360771293293","99.2363564521171","99.2363491901291","99.2358946686257","99.2343230962045","99.2326886789969","99.230983411354","99.2292213269659","99.2273960932328","99.2255353831577","99.2236309395742","99.2216549751961","99.221809586814","99.2219886396018","99.2221843145889","","",
"Central Europe and the Baltics","CEB","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1647072023794","99.1825842823858","99.198018514971","99.2351895653853","99.267359380117","99.0304453320345","98.7913157468022","98.548895102404","98.2920179746377","98.0399825484211","97.7707955817099","97.4975433069501","97.22261711257","96.9501802981277","96.6641258167953","96.3805079474512","96.1363110497861","96.1429279502122","","",
"Switzerland","CHE","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999994425128","100","99.9999980539827","100","99.9999983594192","100","100","99.9999990806574","99.9999979288144","99.999997222233","99.9999976280164","99.9999991605815","100","99.9999992997273","99.9999972090687","99.9999962502182","100","100","100","99.9999987245773","99.9999976034203","100","100","","",
"Channel Islands","CHI","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.7491208421222","96.062891345866","96.3584619844032","96.6106866646012","96.8614230083117","97.1101191966706","97.3573221347286","97.602715506187","97.8465856667141","98.0886728560827","98.3290115514448","98.5678197749082","98.804914353575","99.0403880891887","99.2742482208884","99.5064928801766","99.7371866996943","99.9654459534359","100","100","100","100","99.9999982963226","","",
